subjID	wme_mask	intersect_ses-S1_task-study	intersect_ses-S2_task-test	intersect_ses-S2_task-rest	scaled_ses-S1_1	scaled_ses-S1_2	scaled_ses-S2_1	scaled_ses-S2_2	scaled_ses-S2_3	scaled_resting	decon_ses-S1_1	decon_ses-S2_1	decon_resting	ashs_L	ashs_R	reface
sub-4130	2022-03-04 18:49:02		2022-03-04 18:49:02				2022-03-04 18:49:06	2022-03-04 18:49:04	2022-03-04 18:49:08			2022-03-04 18:49:08		2021-12-20 09:18:21	2021-12-20 09:18:21	2021-11-29 14:47:05
sub-4131	2022-03-04 18:27:46		2022-03-04 18:27:46				2022-03-04 18:27:50	2022-03-04 18:27:48	2022-03-04 18:27:56			2022-03-04 18:27:50		2022-03-07 10:18:11	2022-03-07 10:18:11	2021-11-29 14:47:10
sub-4132	2022-03-04 17:37:11		2022-03-04 17:37:11				2022-03-04 17:37:14	2022-03-04 17:37:22	2022-03-04 17:37:12			2022-03-04 17:37:15		2022-03-07 10:16:06	2022-03-07 10:16:06	2021-11-29 14:47:00
sub-4134	2022-03-04 18:44:25		2022-03-04 18:44:25				2022-03-04 18:44:35	2022-03-04 18:44:27	2022-03-04 18:44:29			2022-03-04 18:44:29		2021-12-20 09:17:59	2021-12-20 09:17:58	2021-11-29 14:47:21
sub-4138	2022-03-05 11:12:06		2022-03-05 11:12:06				2022-03-05 11:12:18	2022-03-05 11:12:17	2022-03-05 11:12:09			2022-03-05 11:12:09		2021-12-20 09:18:19	2021-12-20 09:18:19	2021-11-29 14:56:33
sub-4140	2022-03-05 10:48:33		2022-03-05 10:48:33				2022-03-05 10:48:35	2022-03-05 10:48:39	2022-03-05 10:48:36			2022-03-05 10:48:39		2021-12-20 09:18:00	2021-12-20 09:18:00	2021-11-29 14:57:02
sub-4142	2022-03-24 11:21:30		2022-03-24 11:21:29				2022-03-24 11:23:48	2022-03-24 11:25:09	2022-03-24 11:32:25			2022-03-24 11:32:26		2021-12-20 09:17:57	2021-12-20 09:17:57	2021-11-29 14:57:15
sub-4143	2022-03-05 11:58:38		2022-03-05 11:58:38				2022-03-05 11:58:42	2022-03-05 11:58:39	2022-03-05 11:58:43			2022-03-05 11:58:43		2021-12-20 09:18:19	2021-12-20 09:18:19	2021-11-29 14:57:18
sub-4144	2022-03-05 11:46:19		2022-03-05 11:46:19				2022-03-05 11:46:25	2022-03-05 11:46:23	2022-03-05 11:46:20			2022-03-05 11:46:25		2021-12-20 09:18:17	2021-12-20 09:18:17	2021-11-29 14:57:21
sub-4146	2022-03-05 12:11:21		2022-03-05 12:11:21				2022-03-05 12:11:26	2022-03-05 12:11:23	2022-03-05 12:11:25			2022-03-05 12:11:26		2021-12-20 09:18:18	2021-12-20 09:18:18	2021-11-29 14:57:17
sub-4149	2022-03-05 10:21:40		2022-03-05 10:21:40				2022-03-05 10:21:43	2022-03-05 10:21:49	2022-03-05 10:21:41			2022-03-05 10:21:43		2021-12-20 09:18:20	2021-12-20 09:18:20	2021-11-29 14:57:04
sub-4151	2022-03-05 10:31:11		2022-03-05 10:31:11				2022-03-05 10:31:13	2022-03-05 10:31:14	2022-03-05 10:31:20			2022-03-05 10:31:14		2021-12-20 09:18:21	2021-12-20 09:18:21	2021-11-29 14:57:02
sub-4152	2022-03-05 08:37:58		2022-03-05 08:37:58				2022-03-05 08:38:00	2022-03-05 08:38:02	2022-03-05 08:38:01			2022-03-05 08:38:02		2022-03-07 10:14:33	2022-03-07 10:14:33	2021-11-29 15:06:31
